Group,2014-15 QTY,2015-16 QTY,2016-17 QTY,2017-18 QTY,2018-19 QTY,2019-20 QTY,2020-21 QTY,2021-22 QTY,2014-15 VAL,2015-16 VAL,2016-17 VAL,2017-18 VAL,2018-19 VAL,2019-20 VAL,2020-21 VAL,2021-22 VAL
Aromatics,1023.472,1204.325,1614.652,1321.018,1320.424,1327.535,1300.486,1124.365,712.564,633.048,864.845,708.548,910.212,772.834,542.096,742.531
Fibre Intermediates,2179.87,2015.419,1842.229,1808.425,1454.656,1919.655,1441.326,2626.726,1273.665,1026.126,943.136,1072.331,1056.882,1059.484,649.525,1713.284
Olefins,49.255,25.398,83.453,50.791,69.7,75.857,43.875,91.88,43.981,20.177,60.651,43.283,57.846,51.011,33.958,76.193
Other Petro-Based Chemicals,2372.654,2739.78,2650.608,3255.244,3227.017,3543.017,3068.899,3291.372,1897.349,1775.978,1764.933,2232.102,2709.229,2388.328,2152.067,3656.404
Performance Plastics,394.766,388.796,417.442,582.692,683.851,740.577,298.958,282.523,496.367,445.847,472.27,621.047,891.721,782.46,293.817,394.91
Polymers,3736.798,4214.022,4452.258,4751.478,4479.129,3430.18,2641.372,2941.493,3177.068,3132.488,3267.23,3549.286,3684.829,2639.363,2142.272,3267.215
Synthetic Detergent Intermediates,134.035,218.097,228.229,205.984,227.136,264.058,265.406,277.828,138.461,177.489,179.003,164.533,210.428,237.426,216.258,336.16
Synthetic Fibres,235.59,263.774,279.993,259.632,275.617,346.6,403.273,460.377,346.205,346.368,342.993,363.079,453.356,460.883,410.701,678.52
Synthetic Rubber (Elastomers),578.4,596.101,559.919,607.867,618.5,574.832,747.278,635.138,758.949,612.69,628.042,741.75,851.418,709.547,718.86,1144.125
avarage of years,1189.42666666667,1296.19022222222,1347.64255555556,1427.01455555556,1372.89222222222,1358.03455555556,1134.54144444444,1303.52244444444,982.734333333333,907.801222222222,947.011444444444,1055.10655555556,1202.88011111111,1011.25955555556,795.506,1334.37133333333
standard deviation,1285.7941674754,1426.53396827396,1463.26624326787,1607.90086413063,1514.71488546044,1334.29319754684,1087.53205439174,1281.48628620668,1005.92686263304,982.941031075717,1007.88188762711,1135.17945844513,1204.90267466873,906.462932566621,795.352786331952,1301.43819263709
